salt_bridges hydrophilic_sasa h_std total_sasa t_std  frxn_hydrophilic f_std
0 30.224482 1.4634163 55.34486 1.7890859 0.5459626 0.015228058
1 28.137678 1.823927 52.87282 3.1105254 0.532191 0.013982466
2 26.255045 2.0382931 49.82645 4.0214915 0.5273661 0.015760923
3 24.8695 2.0695198 47.206406 4.5718694 0.52789664 0.018685682
4 23.382215 2.1507707 44.08239 5.179612 0.5324183 0.023181947
5 22.052416 1.9513166 41.11733 4.7688885 0.5383678 0.025043493
6 21.018316 1.7151117 38.847023 3.9490976 0.54246527 0.024022933
7 20.378263 1.520158 37.57806 3.2858615 0.54322404 0.02243011
8 19.821184 1.4090703 36.592773 2.6610742 0.5420698 0.02063791
9 19.31054 1.3908689 35.817207 2.3898742 0.5392849 0.020294832
10 18.920015 1.3891581 35.281662 2.1121273 0.5361097 0.019656094
11 18.570507 1.293271 34.994953 1.8928963 0.53048956 0.019443678
12 17.933332 1.2600042 34.392265 2.1148033 0.52152455 0.020405425
13 17.340273 1.5053203 34.07756 2.4304044 0.5085085 0.018040644
14 17.459995 1.2957438 33.5862 2.61293 0.5202906 0.01782536
# reweighted avg hydrophilic_sasa 20.432910979000777
