salt_bridges hydrophilic_sasa h_std total_sasa t_std  frxn_hydrophilic f_std
0 22.516054 2.371041 43.280376 4.872933 0.52100784 0.014403754
1 20.488373 2.5801966 39.48001 5.513431 0.520373 0.017612873
2 18.935926 2.3920043 36.588234 5.1489167 0.51896113 0.018429523
3 17.758572 2.2029107 34.448597 4.8012176 0.5169497 0.019032415
4 16.936348 1.9686028 33.000973 4.3410597 0.5145649 0.019459
5 16.162437 1.7730273 31.737413 3.837678 0.5102804 0.020027276
6 15.513784 1.7541975 30.704412 3.6522472 0.50591093 0.01928338
7 14.9925 1.2645601 29.848759 2.492055 0.5024737 0.0156907
8 14.546417 1.3645045 29.88612 2.652905 0.4866612 0.014049364
9 14.615571 0.96117145 30.182524 2.1350005 0.48464742 0.014250846
# reweighted avg hydrophilic_sasa 17.03375170506539
